brand,name,price,currency,merchant,deepLink,volumeMl,inStock
"Mugler","Alien EDT 100ml for men",20.00,USD,Merchant0,https://example.com/mugler-alien,100,true
"Mugler","Angel Eau de Parfum 3.4 oz spray",32.50,USD,Merchant1,https://example.com/mugler-angel,100,true
"Dolce Gabbana","Light Blue EDP 50ml",45.00,USD,Merchant2,https://example.com/dolce-gabbana-light-blue,100,true
"Chanel","Coco Mademoiselle",57.50,USD,Merchant0,https://example.com/chanel-coco-mademoiselle,100,true
"Lancome","La Vie Est Belle EDT 100ml for men",70.00,USD,Merchant1,https://example.com/lancome-la-vie-est-belle,100,true
"Tom Ford","Black Orchid Eau de Parfum 3.4 oz spray",82.50,USD,Merchant2,https://example.com/tom-ford-black-orchid,100,true
"Yves Saint Laurent","Black Opium EDP 50ml",95.00,USD,Merchant0,https://example.com/yves-saint-laurent-black-opium,100,true
"Dior","Hypnotic Poison",107.50,USD,Merchant1,https://example.com/dior-hypnotic-poison,100,true
"Dior","J Adore EDT 100ml for men",120.00,USD,Merchant2,https://example.com/dior-j-adore,100,true
"Dior","Sauvage Eau de Parfum 3.4 oz spray",132.50,USD,Merchant0,https://example.com/dior-sauvage,100,true
"Tom Ford","Tobacco Vanille EDP 50ml",145.00,USD,Merchant1,https://example.com/tom-ford-tobacco-vanille,100,true
"Hermes","Terre D Hermes",157.50,USD,Merchant2,https://example.com/hermes-terre-d-hermes,100,true
"Versace","Crystal Noir EDT 100ml for men",170.00,USD,Merchant0,https://example.com/versace-crystal-noir,100,true
"Versace","Eros Eau de Parfum 3.4 oz spray",182.50,USD,Merchant1,https://example.com/versace-eros,100,true
"Calvin Klein","Euphoria EDP 50ml",195.00,USD,Merchant2,https://example.com/calvin-klein-euphoria,100,true
"Maison Francis Kurkdjian","Baccarat Rouge 540",20.00,USD,Merchant0,https://example.com/maison-francis-kurkdjian-baccarat-rouge-540,100,true
"Versace","Bright Crystal EDT 100ml for men",32.50,USD,Merchant1,https://example.com/versace-bright-crystal,100,true
"Chloe","Chloe Eau de Parfum Eau de Parfum 3.4 oz spray",45.00,USD,Merchant2,https://example.com/chloe-chloe-eau-de-parfum,100,true
"Creed","Aventus EDP 50ml",57.50,USD,Merchant0,https://example.com/creed-aventus,100,true
"Yves Saint Laurent","La Nuit de L Homme",70.00,USD,Merchant1,https://example.com/yves-saint-laurent-la-nuit-de-l-homme,100,true
"Lalique","Encre Noire EDT 100ml for men",82.50,USD,Merchant2,https://example.com/lalique-encre-noire,100,true
"Jean Paul Gaultier","Le Male Eau de Parfum 3.4 oz spray",95.00,USD,Merchant0,https://example.com/jean-paul-gaultier-le-male,100,true
"Dior","Fahrenheit EDP 50ml",107.50,USD,Merchant1,https://example.com/dior-fahrenheit,100,true
"Dior","Dior Homme Intense 2011",120.00,USD,Merchant2,https://example.com/dior-dior-homme-intense-2011,100,true
"Viktor Rolf","Flowerbomb EDT 100ml for men",132.50,USD,Merchant0,https://example.com/viktor-rolf-flowerbomb,100,true
"Narciso Rodriguez","Narciso Rodriguez for Her Eau de Parfum 3.4 oz spray",145.00,USD,Merchant1,https://example.com/narciso-rodriguez-narciso-rodriguez-for-her,100,true
"Chanel","Bleu de Chanel EDP 50ml",157.50,USD,Merchant2,https://example.com/chanel-bleu-de-chanel,100,true
"Carolina Herrera","Good Girl",170.00,USD,Merchant0,https://example.com/carolina-herrera-good-girl,100,true
"Dolce Gabbana","D G Anthology L Imperatrice 3 EDT 100ml for men",182.50,USD,Merchant1,https://example.com/dolce-gabbana-d-g-anthology-l-imperatrice-3,100,true
"Giorgio Armani","Si Eau de Parfum 3.4 oz spray",195.00,USD,Merchant2,https://example.com/giorgio-armani-si,100,true
"Chanel","Chance Eau Tendre EDP 50ml",20.00,USD,Merchant0,https://example.com/chanel-chance-eau-tendre,100,true
"Calvin Klein","Ck One",32.50,USD,Merchant1,https://example.com/calvin-klein-ck-one,100,true
"Armaf","Club de Nuit Intense Man EDT 100ml for men",45.00,USD,Merchant2,https://example.com/armaf-club-de-nuit-intense-man,100,true
"Guerlain","Shalimar Eau de Parfum Eau de Parfum 3.4 oz spray",57.50,USD,Merchant0,https://example.com/guerlain-shalimar-eau-de-parfum,100,true
"Versace","Versace Pour Homme EDP 50ml",70.00,USD,Merchant1,https://example.com/versace-versace-pour-homme,100,true
"Versace","Versace Pour Homme Dylan Blue",82.50,USD,Merchant2,https://example.com/versace-versace-pour-homme-dylan-blue,100,true
"Dior","Pure Poison EDT 100ml for men",95.00,USD,Merchant0,https://example.com/dior-pure-poison,100,true
"Dolce Gabbana","The One Eau de Parfum 3.4 oz spray",107.50,USD,Merchant1,https://example.com/dolce-gabbana-the-one,100,true
